prev_caption,curr_caption,human_transition,input_text
the band performs on stage at the concert,the band performs on stage at the grammys,,"Caption 1: the band performs on stage at the concert
Caption 2: the band performs on stage at the grammys
What's the transition?"
a man playing drums on a stage,a man in a black shirt and a woman in a black dress on stage,,"Caption 1: a man playing drums on a stage
Caption 2: a man in a black shirt and a woman in a black dress on stage
What's the transition?"
person and person on the tonight show,a man and woman are singing on stage,,"Caption 1: person and person on the tonight show
Caption 2: a man and woman are singing on stage
What's the transition?"
a group of young men and women are gathered around a man in a suit,a group of young people sitting on the ground,,"Caption 1: a group of young men and women are gathered around a man in a suit
Caption 2: a group of young people sitting on the ground
What's the transition?"
a group of young people are gathered around a man,a group of people are posing for a picture,,"Caption 1: a group of young people are gathered around a man
Caption 2: a group of people are posing for a picture
What's the transition?"
a woman is washing her hands in a sink,a woman is making a bowl of food,,"Caption 1: a woman is washing her hands in a sink
Caption 2: a woman is making a bowl of food
What's the transition?"
a todd playing with a remote control,a todd sitting on a table with a cell,,"Caption 1: a todd playing with a remote control
Caption 2: a todd sitting on a table with a cell
What's the transition?"
two guineas eating vegetables on a table,two guineas are sitting on a towel,,"Caption 1: two guineas eating vegetables on a table
Caption 2: two guineas are sitting on a towel
What's the transition?"
a woman in a blue dress standing in the rain,a scene from the movie ' s avatar,,"Caption 1: a woman in a blue dress standing in the rain
Caption 2: a scene from the movie ' s avatar
What's the transition?"
a scene from the movie ' s avatar,a woman standing in the rain with her arms outstretched,,"Caption 1: a scene from the movie ' s avatar
Caption 2: a woman standing in the rain with her arms outstretched
What's the transition?"
a car is seen on the highway after it was hit by a truck,a car is seen on the highway as it is stopped,,"Caption 1: a car is seen on the highway after it was hit by a truck
Caption 2: a car is seen on the highway as it is stopped
What's the transition?"
a deer standing in a yard next to a tree,a deer is walking through the grass,,"Caption 1: a deer standing in a yard next to a tree
Caption 2: a deer is walking through the grass
What's the transition?"
a pan with some food in it,a pot of soup with a wooden spoon,,"Caption 1: a pan with some food in it
Caption 2: a pot of soup with a wooden spoon
What's the transition?"
a pan of food is cooking on a stove,a pan of noodles is being cooked on the stove,,"Caption 1: a pan of food is cooking on a stove
Caption 2: a pan of noodles is being cooked on the stove
What's the transition?"
a man is holding a dog in his arms,a woman holding a cat in her arms,,"Caption 1: a man is holding a dog in his arms
Caption 2: a woman holding a cat in her arms
What's the transition?"
a man holding a rabbit in his arms,a woman holding a baby kangaroo in her arms,,"Caption 1: a man holding a rabbit in his arms
Caption 2: a woman holding a baby kangaroo in her arms
What's the transition?"
a pot of soup on a stove with a spoon,a woman in a kitchen with a dog,,"Caption 1: a pot of soup on a stove with a spoon
Caption 2: a woman in a kitchen with a dog
What's the transition?"
a pot of soup is being cooked on a stove,a pot of water on a stove with a pan of food,,"Caption 1: a pot of soup is being cooked on a stove
Caption 2: a pot of water on a stove with a pan of food
What's the transition?"
a man riding a motorcycle down a street,a scene from the movie ' s trailer,,"Caption 1: a man riding a motorcycle down a street
Caption 2: a scene from the movie ' s trailer
What's the transition?"
a scene from the movie ' s trailer,a man is riding a motorcycle with a woman,,"Caption 1: a scene from the movie ' s trailer
Caption 2: a man is riding a motorcycle with a woman
What's the transition?"
a frying pan with a frying pan on top,a pot filled with a mixture of brown liquid,,"Caption 1: a frying pan with a frying pan on top
Caption 2: a pot filled with a mixture of brown liquid
What's the transition?"
a pot filled with a mixture of brown liquid,a pot filled with liquid and a wooden spoon,,"Caption 1: a pot filled with a mixture of brown liquid
Caption 2: a pot filled with liquid and a wooden spoon
What's the transition?"
a man in a yellow shirt and black apron,a man in a yellow shirt is making food,,"Caption 1: a man in a yellow shirt and black apron
Caption 2: a man in a yellow shirt is making food
What's the transition?"
a man sitting on a bed,a man and woman sitting on a couch,,"Caption 1: a man sitting on a bed
Caption 2: a man and woman sitting on a couch
What's the transition?"
a woman laying in bed with a blanket,a little girl laying on a bed,,"Caption 1: a woman laying in bed with a blanket
Caption 2: a little girl laying on a bed
What's the transition?"
a man walking down a sidewalk in front of a house,a man is standing in front of a house,,"Caption 1: a man walking down a sidewalk in front of a house
Caption 2: a man is standing in front of a house
What's the transition?"
a man is walking down the sidewalk in front of his house,a man walking down a sidewalk with a backpack,,"Caption 1: a man is walking down the sidewalk in front of his house
Caption 2: a man walking down a sidewalk with a backpack
What's the transition?"
two cats playing with each other cats,a cat playing with a mouse on the floor,,"Caption 1: two cats playing with each other cats
Caption 2: a cat playing with a mouse on the floor
What's the transition?"
a cat is sitting on a table,a man playing a guitar,,"Caption 1: a cat is sitting on a table
Caption 2: a man playing a guitar
What's the transition?"
a man and woman standing next to each other people,a man in a blue shirt is singing into a microphone,,"Caption 1: a man and woman standing next to each other people
Caption 2: a man in a blue shirt is singing into a microphone
What's the transition?"
a man in a blue shirt and a woman in a black shirt,a man and woman looking at each other people,,"Caption 1: a man in a blue shirt and a woman in a black shirt
Caption 2: a man and woman looking at each other people
What's the transition?"
a man jumping into a swimming pool,a man is standing in the middle of a swimming pool,,"Caption 1: a man jumping into a swimming pool
Caption 2: a man is standing in the middle of a swimming pool
What's the transition?"
a gorilla is sitting on a wooden bench,a gorilla is standing in front of a tv screen,,"Caption 1: a gorilla is sitting on a wooden bench
Caption 2: a gorilla is standing in front of a tv screen
What's the transition?"
a fish swimming in the ocean near rocks,a seal is seen in the water near rocks,,"Caption 1: a fish swimming in the ocean near rocks
Caption 2: a seal is seen in the water near rocks
What's the transition?"
a little girl is skating on the ice,a little girl is playing with a dog,,"Caption 1: a little girl is skating on the ice
Caption 2: a little girl is playing with a dog
What's the transition?"
a little girl is holding onto a stuffed animal,two young girls are skating on an ice rink,,"Caption 1: a little girl is holding onto a stuffed animal
Caption 2: two young girls are skating on an ice rink
What's the transition?"
a little girl in a pink dress is standing in a kitchen,a little girl in a pink dress is putting something into a cup,,"Caption 1: a little girl in a pink dress is standing in a kitchen
Caption 2: a little girl in a pink dress is putting something into a cup
What's the transition?"
a man is holding a black object,a man holding a microphone in his hand,,"Caption 1: a man is holding a black object
Caption 2: a man holding a microphone in his hand
What's the transition?"
a woman climbing on a rock wall,a man climbing on a rock wall,,"Caption 1: a woman climbing on a rock wall
Caption 2: a man climbing on a rock wall
What's the transition?"
a man walking down a street next to a building,a man riding a bike down a street,,"Caption 1: a man walking down a street next to a building
Caption 2: a man riding a bike down a street
What's the transition?"
a seal seal is laying on the snow,a small brown bear walking across a white surface,,"Caption 1: a seal seal is laying on the snow
Caption 2: a small brown bear walking across a white surface
What's the transition?"
a small brown bear walking across a white surface,a bear is laying in the snow,,"Caption 1: a small brown bear walking across a white surface
Caption 2: a bear is laying in the snow
What's the transition?"
a baby is being held by a man in a crowd,a baby is sitting on a couch with a dog,,"Caption 1: a baby is being held by a man in a crowd
Caption 2: a baby is sitting on a couch with a dog
What's the transition?"
a little girl is walking in a store,a little boy pushing a cart in a store,,"Caption 1: a little girl is walking in a store
Caption 2: a little boy pushing a cart in a store
What's the transition?"
a herd of sheep walking across a road,a herd of elk crossing a road,,"Caption 1: a herd of sheep walking across a road
Caption 2: a herd of elk crossing a road
What's the transition?"
a pan with eggs and a pan of eggs,a woman is cooking eggs on the stove,,"Caption 1: a pan with eggs and a pan of eggs
Caption 2: a woman is cooking eggs on the stove
What's the transition?"
a man is walking down a dirt road,a black and white photo of a man and a woman walking down a road,,"Caption 1: a man is walking down a dirt road
Caption 2: a black and white photo of a man and a woman walking down a road
What's the transition?"
a man is standing on the side of a road,a man is walking down a dirt road,,"Caption 1: a man is standing on the side of a road
Caption 2: a man is walking down a dirt road
What's the transition?"
a man is walking down a dirt road,a man is laying on the ground with a dog,,"Caption 1: a man is walking down a dirt road
Caption 2: a man is laying on the ground with a dog
What's the transition?"
a man with a gun in his hand,a man riding a motorcycle on a dirt road,,"Caption 1: a man with a gun in his hand
Caption 2: a man riding a motorcycle on a dirt road
What's the transition?"
a man running in a stadium with a crowd,a group of men running on a track,,"Caption 1: a man running in a stadium with a crowd
Caption 2: a group of men running on a track
What's the transition?"
two men running in a race on a track,a man in a yellow shirt running on a track,,"Caption 1: two men running in a race on a track
Caption 2: a man in a yellow shirt running on a track
What's the transition?"
a sink with a bottle of water and a soap,a bird is sitting in a sink with a bottle of water,,"Caption 1: a sink with a bottle of water and a soap
Caption 2: a bird is sitting in a sink with a bottle of water
What's the transition?"
a cat is sitting in a sink with a bottle of water,a bird is sitting in a sink with a bottle of water,,"Caption 1: a cat is sitting in a sink with a bottle of water
Caption 2: a bird is sitting in a sink with a bottle of water
What's the transition?"
a man in a white shirt,a man and woman riding on a bus,,"Caption 1: a man in a white shirt
Caption 2: a man and woman riding on a bus
What's the transition?"
a man and woman riding on a bus,a woman sitting on a bus,,"Caption 1: a man and woman riding on a bus
Caption 2: a woman sitting on a bus
What's the transition?"
a monkey is sitting on the floor and looking at something,a oranguel is sitting on the floor,,"Caption 1: a monkey is sitting on the floor and looking at something
Caption 2: a oranguel is sitting on the floor
What's the transition?"
a cartoon picture of a rabbit and a rabbit,a cartoon scene of two squirrels and a squirrel,,"Caption 1: a cartoon picture of a rabbit and a rabbit
Caption 2: a cartoon scene of two squirrels and a squirrel
What's the transition?"
a woman holding a white cat,a woman in a blue shirt,,"Caption 1: a woman holding a white cat
Caption 2: a woman in a blue shirt
What's the transition?"
a woman singing into a microphone on a stage,a woman in a black jacket and white shirt singing into a microphone,,"Caption 1: a woman singing into a microphone on a stage
Caption 2: a woman in a black jacket and white shirt singing into a microphone
What's the transition?"
a man in a suit is playing a guitar,a man in a suit is standing on a stage,,"Caption 1: a man in a suit is playing a guitar
Caption 2: a man in a suit is standing on a stage
What's the transition?"
a man in a white shirt,a man in a white kim,,"Caption 1: a man in a white shirt
Caption 2: a man in a white kim
What's the transition?"
a man and a woman in a field,a man in a field,,"Caption 1: a man and a woman in a field
Caption 2: a man in a field
What's the transition?"
a man in a white suit,two people in a field with one person throwing a ball,,"Caption 1: a man in a white suit
Caption 2: two people in a field with one person throwing a ball
What's the transition?"
a red bus,a man sitting in a helicopter,,"Caption 1: a red bus
Caption 2: a man sitting in a helicopter
What's the transition?"
a man is parading in the sky,a man flying a parachute,,"Caption 1: a man is parading in the sky
Caption 2: a man flying a parachute
What's the transition?"
a group of people dancing in a room,a group of people standing in a room,,"Caption 1: a group of people dancing in a room
Caption 2: a group of people standing in a room
What's the transition?"
a small animal eating something on a white blanket,a small animal sitting on top of a blanket,,"Caption 1: a small animal eating something on a white blanket
Caption 2: a small animal sitting on top of a blanket
What's the transition?"
a man kneeling on a soccer field with a soccer ball,a man is sitting on the ground with a soccer ball,,"Caption 1: a man kneeling on a soccer field with a soccer ball
Caption 2: a man is sitting on the ground with a soccer ball
What's the transition?"
a bear in the grass,a coyote is walking through a field of snow,,"Caption 1: a bear in the grass
Caption 2: a coyote is walking through a field of snow
What's the transition?"
a cat is seen on the floor in this video,a cat is standing on the floor in front of a television screen,,"Caption 1: a cat is seen on the floor in this video
Caption 2: a cat is standing on the floor in front of a television screen
What's the transition?"
a dog is seen in this video,a video of a man in a room with a cat,,"Caption 1: a dog is seen in this video
Caption 2: a video of a man in a room with a cat
What's the transition?"
a man is playing with two dogs in a field,two dogs running in a field with one dog chasing,,"Caption 1: a man is playing with two dogs in a field
Caption 2: two dogs running in a field with one dog chasing
What's the transition?"
a fish is swimming in the water,a shark is seen in the water,,"Caption 1: a fish is swimming in the water
Caption 2: a shark is seen in the water
What's the transition?"
a man is playing golf in the grass,a man is throwing a ball in the grass,,"Caption 1: a man is playing golf in the grass
Caption 2: a man is throwing a ball in the grass
What's the transition?"
a man sitting at a table in a room,a woman sitting at a table with a plate of food,,"Caption 1: a man sitting at a table in a room
Caption 2: a woman sitting at a table with a plate of food
What's the transition?"
a woman in a pink dress is standing in a tub,a woman in a pink dress is sitting on a couch,,"Caption 1: a woman in a pink dress is standing in a tub
Caption 2: a woman in a pink dress is sitting on a couch
What's the transition?"
a tv screen showing a man in a bikini,a video of a man running in the mud race,,"Caption 1: a tv screen showing a man in a bikini
Caption 2: a video of a man running in the mud race
What's the transition?"
a little boy is playing in the water,a young boy is standing in the water,,"Caption 1: a little boy is playing in the water
Caption 2: a young boy is standing in the water
What's the transition?"
two children playing on the beach,a little girl is running on the beach,,"Caption 1: two children playing on the beach
Caption 2: a little girl is running on the beach
What's the transition?"
a cat eating out of a bowl,a black cat playing with a toy in a room,,"Caption 1: a cat eating out of a bowl
Caption 2: a black cat playing with a toy in a room
What's the transition?"
a man standing in a field with a dog,a man driving a car,,"Caption 1: a man standing in a field with a dog
Caption 2: a man driving a car
What's the transition?"
a man standing in a field,a man is sitting on the hood of a car,,"Caption 1: a man standing in a field
Caption 2: a man is sitting on the hood of a car
What's the transition?"
a bird is walking around in the dirt,a bird walking on the ground in a zoo,,"Caption 1: a bird is walking around in the dirt
Caption 2: a bird walking on the ground in a zoo
What's the transition?"
a man is jumping over a ramp in the air,a man is walking up the stairs in a park,,"Caption 1: a man is jumping over a ramp in the air
Caption 2: a man is walking up the stairs in a park
What's the transition?"
two white lions cubs play with each other cubs,two white polar bears playing with each other polar bears,,"Caption 1: two white lions cubs play with each other cubs
Caption 2: two white polar bears playing with each other polar bears
What's the transition?"
a girl riding a horse drawn carriage,a horse pulling a child in a cart,,"Caption 1: a girl riding a horse drawn carriage
Caption 2: a horse pulling a child in a cart
What's the transition?"
a woman in a blue coat,a woman in a blue coat is feeding a bunch of pandas,,"Caption 1: a woman in a blue coat
Caption 2: a woman in a blue coat is feeding a bunch of pandas
What's the transition?"
a man in a blue coat,a man in a cage with a dog,,"Caption 1: a man in a blue coat
Caption 2: a man in a cage with a dog
What's the transition?"
a man in a white coat,a woman in a white coat,,"Caption 1: a man in a white coat
Caption 2: a woman in a white coat
What's the transition?"
a man is cooking chicken on a grill,a man in a kitchen preparing food on a grill,,"Caption 1: a man is cooking chicken on a grill
Caption 2: a man in a kitchen preparing food on a grill
What's the transition?"
a man is cooking a chicken on a grill,a woman in a white shirt,,"Caption 1: a man is cooking a chicken on a grill
Caption 2: a woman in a white shirt
What's the transition?"
a man in a white shirt,a woman is putting a piece of meat into a pan,,"Caption 1: a man in a white shirt
Caption 2: a woman is putting a piece of meat into a pan
What's the transition?"
a soccer player in a blue uniform,a man in a blue shirt,,"Caption 1: a soccer player in a blue uniform
Caption 2: a man in a blue shirt
What's the transition?"
a man on a bridge,a man is standing on a metal pole,,"Caption 1: a man on a bridge
Caption 2: a man is standing on a metal pole
What's the transition?"
a man is standing on a wooden bridge,a man is on a bridge with a ball,,"Caption 1: a man is standing on a wooden bridge
Caption 2: a man is on a bridge with a ball
What's the transition?"
a man is on a wooden platform,a man is hanging on a pole on a pier,,"Caption 1: a man is on a wooden platform
Caption 2: a man is hanging on a pole on a pier
What's the transition?"
a man sitting on a chair,a man is putting a pizza on a plate,,"Caption 1: a man sitting on a chair
Caption 2: a man is putting a pizza on a plate
What's the transition?"
a man is being dragged by a woman,a man is being caught by a woman in the street,,"Caption 1: a man is being dragged by a woman
Caption 2: a man is being caught by a woman in the street
What's the transition?"
a man is seen in the water after a storm,a man is seen on the news in this image,,"Caption 1: a man is seen in the water after a storm
Caption 2: a man is seen on the news in this image
What's the transition?"
a cup with a cartoon character on it,two cups on a table,,"Caption 1: a cup with a cartoon character on it
Caption 2: two cups on a table
What's the transition?"
a man is skateboarding on a city street,a man is flying a kite in the air,,"Caption 1: a man is skateboarding on a city street
Caption 2: a man is flying a kite in the air
What's the transition?"
a man is skateboarding on a city street,a man is playing frc,,"Caption 1: a man is skateboarding on a city street
Caption 2: a man is playing frc
What's the transition?"
a man riding a skateboard down a street,a man in a green shirt,,"Caption 1: a man riding a skateboard down a street
Caption 2: a man in a green shirt
What's the transition?"
a little girl is playing with a frc,a girl in white shirt and shorts playing with a tennis ball,,"Caption 1: a little girl is playing with a frc
Caption 2: a girl in white shirt and shorts playing with a tennis ball
What's the transition?"
a group of people dancing in a room,a woman in a white dress is dancing,,"Caption 1: a group of people dancing in a room
Caption 2: a woman in a white dress is dancing
What's the transition?"
a panda bear is sitting on a wooden platform,a panda bear is climbing on a tree,,"Caption 1: a panda bear is sitting on a wooden platform
Caption 2: a panda bear is climbing on a tree
What's the transition?"
a panda bear is sitting on a log,a panda bear is sleeping on a wooden bench,,"Caption 1: a panda bear is sitting on a log
Caption 2: a panda bear is sleeping on a wooden bench
What's the transition?"
a woman talking on a cell phone,a man talking on a cell phone,,"Caption 1: a woman talking on a cell phone
Caption 2: a man talking on a cell phone
What's the transition?"
a baby in a high chair eating food,a baby in a high chair,,"Caption 1: a baby in a high chair eating food
Caption 2: a baby in a high chair
What's the transition?"
a man and woman are standing in front of a television screen,a man and woman are in a room,,"Caption 1: a man and woman are standing in front of a television screen
Caption 2: a man and woman are in a room
What's the transition?"
a man kicking a soccer ball in the dark,a man is playing soccer with a dog,,"Caption 1: a man kicking a soccer ball in the dark
Caption 2: a man is playing soccer with a dog
What's the transition?"
a man is skateboarding on a skateboard,a man is playing soccer in the dark,,"Caption 1: a man is skateboarding on a skateboard
Caption 2: a man is playing soccer in the dark
What's the transition?"
a man kicking a soccer ball on a field,a man is walking down the street at night,,"Caption 1: a man kicking a soccer ball on a field
Caption 2: a man is walking down the street at night
What's the transition?"
a cricket game with a player sliding into the ground,a television screen showing a cricket match,,"Caption 1: a cricket game with a player sliding into the ground
Caption 2: a television screen showing a cricket match
What's the transition?"
a group of people standing around a man,a group of people standing around a dog,,"Caption 1: a group of people standing around a man
Caption 2: a group of people standing around a dog
What's the transition?"
a group of people standing around a man,a group of people standing around a tree,,"Caption 1: a group of people standing around a man
Caption 2: a group of people standing around a tree
What's the transition?"
a group of people dancing in the street,a group of people dancing in a park,,"Caption 1: a group of people dancing in the street
Caption 2: a group of people dancing in a park
What's the transition?"
a little girl is smiling and holding her head,a little girl is standing in front of a wall,,"Caption 1: a little girl is smiling and holding her head
Caption 2: a little girl is standing in front of a wall
What's the transition?"
a group of men playing soccer in a field,a group of people playing a game of cricket,,"Caption 1: a group of men playing soccer in a field
Caption 2: a group of people playing a game of cricket
What's the transition?"
a man is standing next to a horse,a man is petting a horse in the woods,,"Caption 1: a man is standing next to a horse
Caption 2: a man is petting a horse in the woods
What's the transition?"
a woman is getting her hair done,a woman with dread hair,,"Caption 1: a woman is getting her hair done
Caption 2: a woman with dread hair
What's the transition?"
a woman with dread hair,a woman is holding a cell phone,,"Caption 1: a woman with dread hair
Caption 2: a woman is holding a cell phone
What's the transition?"
a woman is getting her hair done,a woman is brushing her hair in a mirror,,"Caption 1: a woman is getting her hair done
Caption 2: a woman is brushing her hair in a mirror
What's the transition?"
a woman with dread hair,a girl with dread hair is in the mirror,,"Caption 1: a woman with dread hair
Caption 2: a girl with dread hair is in the mirror
What's the transition?"
a girl with headphones on,a woman with headphones on in a bedroom,,"Caption 1: a girl with headphones on
Caption 2: a woman with headphones on in a bedroom
What's the transition?"
a cat is standing on the floor next to a pair of shoes,a dog is standing in front of a mirror,,"Caption 1: a cat is standing on the floor next to a pair of shoes
Caption 2: a dog is standing in front of a mirror
What's the transition?"
a dog swimming in a pool,a dog is running in the snow,,"Caption 1: a dog swimming in a pool
Caption 2: a dog is running in the snow
What's the transition?"
a man is fixing a truck with a wren,a man standing next to a blue truck,,"Caption 1: a man is fixing a truck with a wren
Caption 2: a man standing next to a blue truck
What's the transition?"
a man standing next to a blue truck,a man is kneeling down to a truck,,"Caption 1: a man standing next to a blue truck
Caption 2: a man is kneeling down to a truck
What's the transition?"
a small bird is sitting on a persons ' s hand,a small mouse eating a leaf,,"Caption 1: a small bird is sitting on a persons ' s hand
Caption 2: a small mouse eating a leaf
What's the transition?"
a woman with red hair and gold eyes,a woman with red hair and a pair of scissors,,"Caption 1: a woman with red hair and gold eyes
Caption 2: a woman with red hair and a pair of scissors
What's the transition?"
a panda bear is playing with a toy,a bunch of pandas,,"Caption 1: a panda bear is playing with a toy
Caption 2: a bunch of pandas
What's the transition?"
a group of pandas are sitting on a bench,a group of panda bears are playing in the snow,,"Caption 1: a group of pandas are sitting on a bench
Caption 2: a group of panda bears are playing in the snow
What's the transition?"
a panda bear and a baby panda bear are playing,a panda bear sitting on a wooden floor,,"Caption 1: a panda bear and a baby panda bear are playing
Caption 2: a panda bear sitting on a wooden floor
What's the transition?"
a young boy is eating a banana,a young boy is holding a piece of bread,,"Caption 1: a young boy is eating a banana
Caption 2: a young boy is holding a piece of bread
What's the transition?"
a little girl sitting on a chair,a little girl sitting in a stroll,,"Caption 1: a little girl sitting on a chair
Caption 2: a little girl sitting in a stroll
What's the transition?"
a little girl is playing with a remote,a little girl is playing with a cat,,"Caption 1: a little girl is playing with a remote
Caption 2: a little girl is playing with a cat
What's the transition?"
a video of a man riding a skateboard,a skateboarder is doing tricks in a skate park,,"Caption 1: a video of a man riding a skateboard
Caption 2: a skateboarder is doing tricks in a skate park
What's the transition?"
a video of a man in a room with a camera,a man is seen through a hole in the ceiling of a building,,"Caption 1: a video of a man in a room with a camera
Caption 2: a man is seen through a hole in the ceiling of a building
What's the transition?"
a video of a man walking down a street,a video of a man in a room with graffiti,,"Caption 1: a video of a man walking down a street
Caption 2: a video of a man in a room with graffiti
What's the transition?"
a man is seen in the video,a man is seen in the window of a house,,"Caption 1: a man is seen in the video
Caption 2: a man is seen in the window of a house
What's the transition?"
a man is opening a door to a building,a man is standing outside of a building,,"Caption 1: a man is opening a door to a building
Caption 2: a man is standing outside of a building
What's the transition?"
a man is seen in the window of a building,a man is holding a gun in his hand,,"Caption 1: a man is seen in the window of a building
Caption 2: a man is holding a gun in his hand
What's the transition?"
a man is seen in the window of a house,a man is seen in the mirror of a house,,"Caption 1: a man is seen in the window of a house
Caption 2: a man is seen in the mirror of a house
What's the transition?"
a group of people,a young boy dancing,,"Caption 1: a group of people
Caption 2: a young boy dancing
What's the transition?"
a woman in a red shirt is cutting eggs,a woman in a red shirt is cutting up some food,,"Caption 1: a woman in a red shirt is cutting eggs
Caption 2: a woman in a red shirt is cutting up some food
What's the transition?"
a woman in a yellow top is doing a squat,a woman in a black shorts and yellow shorts is dancing,,"Caption 1: a woman in a yellow top is doing a squat
Caption 2: a woman in a black shorts and yellow shorts is dancing
What's the transition?"
a woman in a black shorts and yellow shorts is dancing,a woman in a yellow top and black shorts is doing a kick,,"Caption 1: a woman in a black shorts and yellow shorts is dancing
Caption 2: a woman in a yellow top and black shorts is doing a kick
What's the transition?"
a man riding a skateboard down a street,a young boy is riding a skateboard,,"Caption 1: a man riding a skateboard down a street
Caption 2: a young boy is riding a skateboard
What's the transition?"
a scene from the movie ' bha bha ',a video of a wedding dance,,"Caption 1: a scene from the movie ' bha bha '
Caption 2: a video of a wedding dance
What's the transition?"
a man is standing in the woods,a scene from the movie ' s trailer,,"Caption 1: a man is standing in the woods
Caption 2: a scene from the movie ' s trailer
What's the transition?"
a man and woman standing in the grass,a woman walking down a dirt road in a forest,,"Caption 1: a man and woman standing in the grass
Caption 2: a woman walking down a dirt road in a forest
What's the transition?"
a man and woman walking through a forest,a screen shot of a couple in a park,,"Caption 1: a man and woman walking through a forest
Caption 2: a screen shot of a couple in a park
What's the transition?"
a couple is walking through the woods,a woman in a red dress is walking through the woods,,"Caption 1: a couple is walking through the woods
Caption 2: a woman in a red dress is walking through the woods
What's the transition?"
a couple is walking through the woods,a couple kissing in the woods,,"Caption 1: a couple is walking through the woods
Caption 2: a couple kissing in the woods
What's the transition?"
a couple kissing in the middle of a field,a man and woman are standing in a field,,"Caption 1: a couple kissing in the middle of a field
Caption 2: a man and woman are standing in a field
What's the transition?"
a red table,a pan of food on a table,,"Caption 1: a red table
Caption 2: a pan of food on a table
What's the transition?"
a man playing a piano with a microphone,a man playing a piano in front of a white wall,,"Caption 1: a man playing a piano with a microphone
Caption 2: a man playing a piano in front of a white wall
What's the transition?"
a lightning is seen in the dark sky,a lightning strikes through a metal container,,"Caption 1: a lightning is seen in the dark sky
Caption 2: a lightning strikes through a metal container
What's the transition?"
a lightning is seen in the dark sky,a blue ball with a lightning bolt in it,,"Caption 1: a lightning is seen in the dark sky
Caption 2: a blue ball with a lightning bolt in it
What's the transition?"
a woman is sitting on a chair and holding a dog,a woman is laying on the floor with her legs up,,"Caption 1: a woman is sitting on a chair and holding a dog
Caption 2: a woman is laying on the floor with her legs up
What's the transition?"
a woman laying on the ground with a dog,a woman in a bikini is laying on the beach,,"Caption 1: a woman laying on the ground with a dog
Caption 2: a woman in a bikini is laying on the beach
What's the transition?"
a man and woman are talking in a room,a man and woman shaking hands in front of a building,,"Caption 1: a man and woman are talking in a room
Caption 2: a man and woman shaking hands in front of a building
What's the transition?"
a man laying on a bed while holding a microphone,a man is talking on a cell phone,,"Caption 1: a man laying on a bed while holding a microphone
Caption 2: a man is talking on a cell phone
What's the transition?"
a man walking down a street with a bunch of people,a man is dancing in the street with people,,"Caption 1: a man walking down a street with a bunch of people
Caption 2: a man is dancing in the street with people
What's the transition?"
a group of people walking down a street,a video of a crowd of people walking down a street,,"Caption 1: a group of people walking down a street
Caption 2: a video of a crowd of people walking down a street
What's the transition?"
a man is fixing a car with a wren,a man is pushing a car on the street,,"Caption 1: a man is fixing a car with a wren
Caption 2: a man is pushing a car on the street
What's the transition?"
a woman in a kitchen,a woman in a red apron,,"Caption 1: a woman in a kitchen
Caption 2: a woman in a red apron
What's the transition?"
a woman in a kitchen preparing food,a woman in a kitchen putting pizza into a pizza oven,,"Caption 1: a woman in a kitchen preparing food
Caption 2: a woman in a kitchen putting pizza into a pizza oven
What's the transition?"
a scene from the movie ' s trailer,a man and woman standing on top of a mountain,,"Caption 1: a scene from the movie ' s trailer
Caption 2: a man and woman standing on top of a mountain
What's the transition?"
a scene from the movie ' s avatar,a scene from the movie ' ' ' ',,"Caption 1: a scene from the movie ' s avatar
Caption 2: a scene from the movie ' ' ' '
What's the transition?"
a scene from the movie ' s first trailer,a man is standing in front of a waterfall,,"Caption 1: a scene from the movie ' s first trailer
Caption 2: a man is standing in front of a waterfall
What's the transition?"
a woman in a red dress standing on rocks,a woman in a red bikini top and red pants,,"Caption 1: a woman in a red dress standing on rocks
Caption 2: a woman in a red bikini top and red pants
What's the transition?"
a rocket is seen in the ocean as it launches,a missile is launched from the surface of the indian ocean,,"Caption 1: a rocket is seen in the ocean as it launches
Caption 2: a missile is launched from the surface of the indian ocean
What's the transition?"
a rocket is launched in the sky,a jet is flying through the air with smoke coming out,,"Caption 1: a rocket is launched in the sky
Caption 2: a jet is flying through the air with smoke coming out
What's the transition?"
a fish that is swimming in some water,a fish in a tank,,"Caption 1: a fish that is swimming in some water
Caption 2: a fish in a tank
What's the transition?"
a white car driving down a road next to a field,a small car is driving down a road,,"Caption 1: a white car driving down a road next to a field
Caption 2: a small car is driving down a road
What's the transition?"
a man is sitting on a couch with a woman,a man is helping a woman to put her shoe,,"Caption 1: a man is sitting on a couch with a woman
Caption 2: a man is helping a woman to put her shoe
What's the transition?"
a man is feeding an alligator in the grass,a man is standing next to a large alligator,,"Caption 1: a man is feeding an alligator in the grass
Caption 2: a man is standing next to a large alligator
What's the transition?"
a man is holding a barbell in his hand,a bodybuilding man is doing a heavy exercise,,"Caption 1: a man is holding a barbell in his hand
Caption 2: a bodybuilding man is doing a heavy exercise
What's the transition?"
a man and woman kissing in the dark,a couple in the dark,,"Caption 1: a man and woman kissing in the dark
Caption 2: a couple in the dark
What's the transition?"
a man is cooking in a kitchen with a large pan,a man is standing in the kitchen with a green shirt,,"Caption 1: a man is cooking in a kitchen with a large pan
Caption 2: a man is standing in the kitchen with a green shirt
What's the transition?"
a kitchen counter with a bowl of food on it,a kitchen counter with a bowl of eggs and a whised whised whised whised whised whised,,"Caption 1: a kitchen counter with a bowl of food on it
Caption 2: a kitchen counter with a bowl of eggs and a whised whised whised whised whised whised
What's the transition?"
