prev_caption,curr_caption,human_transition,input_text,generated_transition
a man is seen on the roof of a house,a man in a red shirt is walking down the street,,"Caption 1: a man is seen on the roof of a house
Caption 2: a man in a red shirt is walking down the street
What's the transition?",The man in red walks down the street.
a woman in a red top is doing a kick,a woman in a red bra top,,"Caption 1: a woman in a red top is doing a kick
Caption 2: a woman in a red bra top
What's the transition?",The woman continues to kick.
a woman in a red bra top,a woman in a red bikini is dancing,,"Caption 1: a woman in a red bra top
Caption 2: a woman in a red bikini is dancing
What's the transition?",The woman begins dancing.
a man sitting on a bed with a tiger,a tiger cub plays with a balloon,,"Caption 1: a man sitting on a bed with a tiger
Caption 2: a tiger cub plays with a balloon
What's the transition?",The tiger cub plays with a balloon.
a yellow square with a black background,a man is wrestling with another man in the background,,"Caption 1: a yellow square with a black background
Caption 2: a man is wrestling with another man in the background
What's the transition?",A man is wrestling with a man in the background.
a man is wrestling with another man in the background,a sumo wrestler wrestling with a crowd,,"Caption 1: a man is wrestling with another man in the background
Caption 2: a sumo wrestler wrestling with a crowd
What's the transition?",The sumo wrestler continues to wrestle.
a wrestling match with a man in the middle,a wrestler is wrestling with another wrestler,,"Caption 1: a wrestling match with a man in the middle
Caption 2: a wrestler is wrestling with another wrestler
What's the transition?",The wrestler continues to wrestle.
a group of people dancing on a street,a group of people dancing on a bridge,,"Caption 1: a group of people dancing on a street
Caption 2: a group of people dancing on a bridge
What's the transition?",They continue to dance.
a group of people dancing on a bridge,a group of people dancing on a boat,,"Caption 1: a group of people dancing on a bridge
Caption 2: a group of people dancing on a boat
What's the transition?",They continue to dance.
a group of people dancing on a boat,a group of people dancing on a street,,"Caption 1: a group of people dancing on a boat
Caption 2: a group of people dancing on a street
What's the transition?",They continue to dance.
a group of people walking down a street,a group of people standing on a boat,,"Caption 1: a group of people walking down a street
Caption 2: a group of people standing on a boat
What's the transition?",They are on a boat.
a group of people standing on a boat,a man in a red shirt dancing with other people,,"Caption 1: a group of people standing on a boat
Caption 2: a man in a red shirt dancing with other people
What's the transition?",A man in a red shirt joins the group.
a man in a red shirt dancing with other people,a group of people standing on a dock,,"Caption 1: a man in a red shirt dancing with other people
Caption 2: a group of people standing on a dock
What's the transition?",The scene shifts to a group of people standing on the dock.
a group of people standing on a dock,a group of men dancing on a boat,,"Caption 1: a group of people standing on a dock
Caption 2: a group of men dancing on a boat
What's the transition?",They continue to dance.
a green bird is standing on the floor,a green parrot is eating a piece of food,,"Caption 1: a green bird is standing on the floor
Caption 2: a green parrot is eating a piece of food
What's the transition?",A parrot joins the green bird.
a man in a white shirt,a man in a white shirt and sunglasses is working on a pipe,,"Caption 1: a man in a white shirt
Caption 2: a man in a white shirt and sunglasses is working on a pipe
What's the transition?",He is working on a pipe.
a man in a white shirt and sunglasses is working on a pipe,a man is standing on a stage with a microphone,,"Caption 1: a man in a white shirt and sunglasses is working on a pipe
Caption 2: a man is standing on a stage with a microphone
What's the transition?",The man stands on stage.
a man is standing on a stage with a microphone,a man is sitting on a chair in the middle of a pool,,"Caption 1: a man is standing on a stage with a microphone
Caption 2: a man is sitting on a chair in the middle of a pool
What's the transition?",The man sits on a chair.
a man is sitting on a chair in the middle of a pool,a man is standing on a balcony with a chair,,"Caption 1: a man is sitting on a chair in the middle of a pool
Caption 2: a man is standing on a balcony with a chair
What's the transition?",The man stands on the balcony.
a man is standing on a balcony with a chair,a man is standing on a sidewalk with a skateboard,,"Caption 1: a man is standing on a balcony with a chair
Caption 2: a man is standing on a sidewalk with a skateboard
What's the transition?",The man lifts a skateboard.
a man is standing on a sidewalk with a skateboard,a man is standing on a stage with a microphone,,"Caption 1: a man is standing on a sidewalk with a skateboard
Caption 2: a man is standing on a stage with a microphone
What's the transition?",The man performs on stage.
a man is standing on a stage with a microphone,a man in a white suit is standing on a boat,,"Caption 1: a man is standing on a stage with a microphone
Caption 2: a man in a white suit is standing on a boat
What's the transition?",He is wearing a white suit.
a man in a white suit is standing on a boat,a boat with a bunch of people on it,,"Caption 1: a man in a white suit is standing on a boat
Caption 2: a boat with a bunch of people on it
What's the transition?",He is on a boat.
a boat with a bunch of people on it,a man is standing on a boat with a dog,,"Caption 1: a boat with a bunch of people on it
Caption 2: a man is standing on a boat with a dog
What's the transition?",A man joins the boat with a dog.
a man is standing on a boat with a dog,a man is standing outside of a building,,"Caption 1: a man is standing on a boat with a dog
Caption 2: a man is standing outside of a building
What's the transition?",The man stands outside of a building.
a dog running in the rain with a person,a dog is running through the water in a park,,"Caption 1: a dog running in the rain with a person
Caption 2: a dog is running through the water in a park
What's the transition?",The dog continues to run.
a dog is running through the water in a park,a video of a dog running through a puddle,,"Caption 1: a dog is running through the water in a park
Caption 2: a video of a dog running through a puddle
What's the transition?",The dog continues to run.
a video of a dog running through a puddle,a little girl running through a puddle,,"Caption 1: a video of a dog running through a puddle
Caption 2: a little girl running through a puddle
What's the transition?",A little girl joins the dog.
a little girl running through a puddle,a man is running through a puddle in the rain,,"Caption 1: a little girl running through a puddle
Caption 2: a man is running through a puddle in the rain
What's the transition?",A man joins the girl in the rain.
a man is running through a puddle in the rain,a video of a man in a park,,"Caption 1: a man is running through a puddle in the rain
Caption 2: a video of a man in a park
What's the transition?",The man continues to run.
a video game showing a man in a park,a video game with a man in a suit and tie,,"Caption 1: a video game showing a man in a park
Caption 2: a video game with a man in a suit and tie
What's the transition?",He is wearing a suit and tie.
a video game with a man in the background,a boy is playing with a dog in the yard,,"Caption 1: a video game with a man in the background
Caption 2: a boy is playing with a dog in the yard
What's the transition?",A boy is playing with a dog.
a boy is playing with a dog in the yard,a video game with a bunch of chickens in the background,,"Caption 1: a boy is playing with a dog in the yard
Caption 2: a video game with a bunch of chickens in the background
What's the transition?",The boy plays a video game.
a video game with a bunch of chickens in the background,a dog is running around a group of dogs,,"Caption 1: a video game with a bunch of chickens in the background
Caption 2: a dog is running around a group of dogs
What's the transition?",A dog is following the chickens.
a man in a yellow shirt is playing soccer,a group of men playing soccer on a field,,"Caption 1: a man in a yellow shirt is playing soccer
Caption 2: a group of men playing soccer on a field
What's the transition?",The men continue playing soccer.
a man is running with a soccer ball,a group of people playing soccer on a field,,"Caption 1: a man is running with a soccer ball
Caption 2: a group of people playing soccer on a field
What's the transition?",People are playing soccer on the field.
a picture of a circular object in the middle of a room,a close up of a metal structure with a circular structure,,"Caption 1: a picture of a circular object in the middle of a room
Caption 2: a close up of a metal structure with a circular structure
What's the transition?",The camera looks up at a metal structure.
a close up of a metal structure with a circular structure,a picture of a man in a suit and tie,,"Caption 1: a close up of a metal structure with a circular structure
Caption 2: a picture of a man in a suit and tie
What's the transition?",The photo changes to a man in a suit and tie.
a picture of a man in a suit and tie,a close up of a clock with a clock face,,"Caption 1: a picture of a man in a suit and tie
Caption 2: a close up of a clock with a clock face
What's the transition?",The camera looks up at the clock.
a close up of a clock with a clock face,a cartoon image of a man sitting on a swing,,"Caption 1: a close up of a clock with a clock face
Caption 2: a cartoon image of a man sitting on a swing
What's the transition?",A man sits on a swing.
a cartoon image of a man sitting on a swing,a star is seen in the dark sky,,"Caption 1: a cartoon image of a man sitting on a swing
Caption 2: a star is seen in the dark sky
What's the transition?",A star appears in the dark sky.
a star is seen in the dark sky,a painting of a ship in the ocean,,"Caption 1: a star is seen in the dark sky
Caption 2: a painting of a ship in the ocean
What's the transition?",A painting is shown.
how to replace a car alarm,how to make a paper airplane,,"Caption 1: how to replace a car alarm
Caption 2: how to make a paper airplane
What's the transition?",It's a paper airplane.
how to make a paper airplane,how to use a stapleer,,"Caption 1: how to make a paper airplane
Caption 2: how to use a stapleer
What's the transition?",The paper airplane is now a stapleer.
how to use a stapleer,how to use a solder,,"Caption 1: how to use a stapleer
Caption 2: how to use a solder
What's the transition?",The stapleer is replaced by solder.
how to use a solder,how to replace a car battery,,"Caption 1: how to use a solder
Caption 2: how to replace a car battery
What's the transition?",The car battery is replaced by a battery.
how to replace a car battery,how to replace a car alarm,,"Caption 1: how to replace a car battery
Caption 2: how to replace a car alarm
What's the transition?",The car alarm is replaced by a car alarm.
a woman in a white dress is standing on a stage,a ballet dancer in white tights and pointes,,"Caption 1: a woman in a white dress is standing on a stage
Caption 2: a ballet dancer in white tights and pointes
What's the transition?",The woman transitions to a ballet dance.
a ballet dancer in white tights and pointes,a man in a suit and tie standing in the dark,,"Caption 1: a ballet dancer in white tights and pointes
Caption 2: a man in a suit and tie standing in the dark
What's the transition?",The scene shifts from a dancer to a man in a suit and tie standing in the dark.
a man in a suit and tie standing in the dark,a ballerina in a white tutue,,"Caption 1: a man in a suit and tie standing in the dark
Caption 2: a ballerina in a white tutue
What's the transition?",A ballerina is shown in the dark.
a ballerina in a white tutue,a black and white photo of a man in a suit,,"Caption 1: a ballerina in a white tutue
Caption 2: a black and white photo of a man in a suit
What's the transition?",The photo changes to a man in a suit.
a cat sitting on a bed,a small squirrel sitting on a table,,"Caption 1: a cat sitting on a bed
Caption 2: a small squirrel sitting on a table
What's the transition?",A squirrel joins the cat.
a small mouse sitting on a table,a small hamy sitting on a bed,,"Caption 1: a small mouse sitting on a table
Caption 2: a small hamy sitting on a bed
What's the transition?",A hamy joins the mouse.
a man standing in a field,a man is standing in the grass,,"Caption 1: a man standing in a field
Caption 2: a man is standing in the grass
What's the transition?",The man stands in the grass.
a man in a blue shirt is playing with a frc,a man in a blue shirt is walking,,"Caption 1: a man in a blue shirt is playing with a frc
Caption 2: a man in a blue shirt is walking
What's the transition?",The man walks down the street.
a man in a black shirt,a man is doing a trick on a skateboard,,"Caption 1: a man in a black shirt
Caption 2: a man is doing a trick on a skateboard
What's the transition?",Does a trick.
a pot of water with some green peppers in it,a pot filled with ice and a spoon,,"Caption 1: a pot of water with some green peppers in it
Caption 2: a pot filled with ice and a spoon
What's the transition?",The pot continues to boil.
a young boy playing basketball on a court,a man is playing a game of basketball,,"Caption 1: a young boy playing basketball on a court
Caption 2: a man is playing a game of basketball
What's the transition?",A man joins the boy playing basketball.
a man is playing a game of basketball,a man in a black shirt and shorts playing basketball,,"Caption 1: a man is playing a game of basketball
Caption 2: a man in a black shirt and shorts playing basketball
What's the transition?",He is wearing a black shirt and shorts.
a woman in a bathing suit is standing in the water,a woman diving in a pool with a man,,"Caption 1: a woman in a bathing suit is standing in the water
Caption 2: a woman diving in a pool with a man
What's the transition?",The woman begins to dive into the pool.
a lion sitting on a couch in a room,a cat sitting on a couch watching a television,,"Caption 1: a lion sitting on a couch in a room
Caption 2: a cat sitting on a couch watching a television
What's the transition?",A cat joins the lion.
a group of people watching a plane flying in the sky,a plane flying in the sky,,"Caption 1: a group of people watching a plane flying in the sky
Caption 2: a plane flying in the sky
What's the transition?",The plane continues to fly.
a crowd of people are gathered in a field,a man is flying a kite in the sky,,"Caption 1: a crowd of people are gathered in a field
Caption 2: a man is flying a kite in the sky
What's the transition?",A man is shown flying a kite.
a man is flying a kite in the sky,a plane flying through the sky with clouds,,"Caption 1: a man is flying a kite in the sky
Caption 2: a plane flying through the sky with clouds
What's the transition?",A plane is shown in the sky.
a plane flying through the sky with clouds,a large plume of smoke rises from the ground,,"Caption 1: a plane flying through the sky with clouds
Caption 2: a large plume of smoke rises from the ground
What's the transition?",A large plume of smoke appears.
a plane flying through the sky with clouds,a bird flying in the sky,,"Caption 1: a plane flying through the sky with clouds
Caption 2: a bird flying in the sky
What's the transition?",A bird appears.
a man in a suit and tie is dancing,a man and woman on stage with a microphone,,"Caption 1: a man in a suit and tie is dancing
Caption 2: a man and woman on stage with a microphone
What's the transition?",The man and woman continue to dance.
a man and woman on stage with a microphone,a man and woman dancing on stage,,"Caption 1: a man and woman on stage with a microphone
Caption 2: a man and woman dancing on stage
What's the transition?",Continue to dance.
a man in a suit and hat dancing,a man in a suit and hat standing next to a woman,,"Caption 1: a man in a suit and hat dancing
Caption 2: a man in a suit and hat standing next to a woman
What's the transition?",The man stands next to a woman.
a man in a suit and tie is singing on a stage,a man playing a guitar in front of a microphone,,"Caption 1: a man in a suit and tie is singing on a stage
Caption 2: a man playing a guitar in front of a microphone
What's the transition?",The man begins playing a guitar.
a man playing a guitar,two men playing instruments on a stage,,"Caption 1: a man playing a guitar
Caption 2: two men playing instruments on a stage
What's the transition?",Continue to play instruments on stage.
a man playing a guitar,two men playing guitars on a television screen,,"Caption 1: a man playing a guitar
Caption 2: two men playing guitars on a television screen
What's the transition?",Two men playing guitars on a television screen.
a man with a mustache,a man with a pipe in his mouth,,"Caption 1: a man with a mustache
Caption 2: a man with a pipe in his mouth
What's the transition?",He has a pipe in his mouth.
a man with a mustache,a man playing a flute,,"Caption 1: a man with a mustache
Caption 2: a man playing a flute
What's the transition?",He plays a flute.
two dogs playing with each other dogs,two dogs are sitting on the floor in front of a mirror,,"Caption 1: two dogs playing with each other dogs
Caption 2: two dogs are sitting on the floor in front of a mirror
What's the transition?",Dogs continue to play.
two dogs playing with each other dogs,a dog and a cat are playing together,,"Caption 1: two dogs playing with each other dogs
Caption 2: a dog and a cat are playing together
What's the transition?",A cat joins the dogs.
a man getting his hair cut by a woman,a woman is getting her hair done,,"Caption 1: a man getting his hair cut by a woman
Caption 2: a woman is getting her hair done
What's the transition?",The woman gets her hair cut.
a woman is getting her hair done,a woman is standing in a room with a hair dryer,,"Caption 1: a woman is getting her hair done
Caption 2: a woman is standing in a room with a hair dryer
What's the transition?",The woman stands in the room with a hair dryer.
a man is cooking food in a pan,a man is putting a pizza into an oven,,"Caption 1: a man is cooking food in a pan
Caption 2: a man is putting a pizza into an oven
What's the transition?",The man prepares a pizza.
a man cutting a red apple on a cutting board,a man is cutting a carrot on a cutting board,,"Caption 1: a man cutting a red apple on a cutting board
Caption 2: a man is cutting a carrot on a cutting board
What's the transition?",The man cuts a carrot.
a man with green hair,a man in a black shirt,,"Caption 1: a man with green hair
Caption 2: a man in a black shirt
What's the transition?",He is wearing a black shirt.
a man in a black shirt,a man with a green mohawk,,"Caption 1: a man in a black shirt
Caption 2: a man with a green mohawk
What's the transition?",He has a mohawk.
a man with a blue mohawk,a man with green hair,,"Caption 1: a man with a blue mohawk
Caption 2: a man with green hair
What's the transition?",He has green hair.
a man in a room,a man with blue hair,,"Caption 1: a man in a room
Caption 2: a man with blue hair
What's the transition?",He has blue hair.
a woman in a kitchen with a dog,a woman in a kitchen preparing food,,"Caption 1: a woman in a kitchen with a dog
Caption 2: a woman in a kitchen preparing food
What's the transition?",The woman prepares food.
a woman in a white shirt,a woman in a kitchen,,"Caption 1: a woman in a white shirt
Caption 2: a woman in a kitchen
What's the transition?",The woman is cooking.
a horse is running in a field with a man on it,a horse is grazing in a field with a cloudy sky,,"Caption 1: a horse is running in a field with a man on it
Caption 2: a horse is grazing in a field with a cloudy sky
What's the transition?",Horses are grazing.
a field with a dog,a man is throwing a ball in a field,,"Caption 1: a field with a dog
Caption 2: a man is throwing a ball in a field
What's the transition?",A man throws a ball in the field.
a man is throwing a ball in a field,a man is flying a kite in the air,,"Caption 1: a man is throwing a ball in a field
Caption 2: a man is flying a kite in the air
What's the transition?",The man begins to fly a kite.
a dog is playing with a ball in the grass,a man is playing with a ball in the grass,,"Caption 1: a dog is playing with a ball in the grass
Caption 2: a man is playing with a ball in the grass
What's the transition?",A man joins the dog.
a dog laying on a bed,a dog is laying on a person ' s lap,,"Caption 1: a dog laying on a bed
Caption 2: a dog is laying on a person ' s lap
What's the transition?",The dog lays on a person ' s lap.
a horse in a field with trees and grass,a horse is standing in the grass near a road,,"Caption 1: a horse in a field with trees and grass
Caption 2: a horse is standing in the grass near a road
What's the transition?",Horses are standing in the grass.
a horse and rider are in a field,a woman riding a horse in a field,,"Caption 1: a horse and rider are in a field
Caption 2: a woman riding a horse in a field
What's the transition?",A woman appears riding a horse.
a man is riding a horse with a dog,a woman riding a horse,,"Caption 1: a man is riding a horse with a dog
Caption 2: a woman riding a horse
What's the transition?",A woman appears riding a horse.
a small dog sitting on top of a chair,a small kitten sitting on top of a chair,,"Caption 1: a small dog sitting on top of a chair
Caption 2: a small kitten sitting on top of a chair
What's the transition?",A kitten joins the dog.
a cow standing in a field with its head up,a dog is standing in the grass,,"Caption 1: a cow standing in a field with its head up
Caption 2: a dog is standing in the grass
What's the transition?",A dog is nearby.
a dog is playing with a watermelon,a cat is playing with a watermelon,,"Caption 1: a dog is playing with a watermelon
Caption 2: a cat is playing with a watermelon
What's the transition?",A cat joins the dog.
a man in a wet suit is being pulled by a man in a wet suit,a man in a suit and helmet standing next to a plane,,"Caption 1: a man in a wet suit is being pulled by a man in a wet suit
Caption 2: a man in a suit and helmet standing next to a plane
What's the transition?",The man is wearing a suit and helmet.
a group of raccos eating food from a feeder,three rahs eating on a table,,"Caption 1: a group of raccos eating food from a feeder
Caption 2: three rahs eating on a table
What's the transition?",The racoons continue to eat.
a man with a hat on singing into a microphone,a man with a guitar and microphone in front of a microphone,,"Caption 1: a man with a hat on singing into a microphone
Caption 2: a man with a guitar and microphone in front of a microphone
What's the transition?",The man begins singing.
a cat is playing with a watermel,a cat is inside,,"Caption 1: a cat is playing with a watermel
Caption 2: a cat is inside
What's the transition?",The cat stays inside.
a group of people riding horses in the dirt,a group of people riding horses through a river,,"Caption 1: a group of people riding horses in the dirt
Caption 2: a group of people riding horses through a river
What's the transition?",They continue riding.
a cat walking across a parking lot,a man is standing in the middle of a street,,"Caption 1: a cat walking across a parking lot
Caption 2: a man is standing in the middle of a street
What's the transition?",A man appears in the middle of the street.
a dog is running on the street,a man is walking down the street with a dog,,"Caption 1: a dog is running on the street
Caption 2: a man is walking down the street with a dog
What's the transition?",A man walks down the street with the dog.
a little girl eating food in a high chair,a little girl eating a piece of cake,,"Caption 1: a little girl eating food in a high chair
Caption 2: a little girl eating a piece of cake
What's the transition?",The little girl continues to eat.
a man surfing on a surfboard,a man and a woman are surfing in the ocean,,"Caption 1: a man surfing on a surfboard
Caption 2: a man and a woman are surfing in the ocean
What's the transition?",The man and a woman are surfing in the ocean.
a man standing next to a car,a man is fixing a car,,"Caption 1: a man standing next to a car
Caption 2: a man is fixing a car
What's the transition?",The man fixes the car.
a small animal is digging in the dirt,a small hedge is digging in the dirt,,"Caption 1: a small animal is digging in the dirt
Caption 2: a small hedge is digging in the dirt
What's the transition?",A hedge is nearby.
a man is playing with a ball in the park,a group of kids playing in a park,,"Caption 1: a man is playing with a ball in the park
Caption 2: a group of kids playing in a park
What's the transition?",Kids are playing with a ball.
a group of people playing with a ball,a man and woman playing with a ball in the yard,,"Caption 1: a group of people playing with a ball
Caption 2: a man and woman playing with a ball in the yard
What's the transition?",A man and woman are playing with the ball.
a bear is walking in the grass,a gorilla is standing in the grass,,"Caption 1: a bear is walking in the grass
Caption 2: a gorilla is standing in the grass
What's the transition?",A gorilla is standing in the grass.
a gorilla is standing in the grass,two elephants are walking in the grass,,"Caption 1: a gorilla is standing in the grass
Caption 2: two elephants are walking in the grass
What's the transition?",Two elephants are following the gorilla.
a bear is standing in the grass near a rock,a bear is walking in the grass,,"Caption 1: a bear is standing in the grass near a rock
Caption 2: a bear is walking in the grass
What's the transition?",The bear begins walking.
a man with a gun shooting a rifle,a man with a gun in the woods,,"Caption 1: a man with a gun shooting a rifle
Caption 2: a man with a gun in the woods
What's the transition?",The man continues to shoot.
a small rabbit sitting on a stone,two small rabbits are sitting on the floor,,"Caption 1: a small rabbit sitting on a stone
Caption 2: two small rabbits are sitting on the floor
What's the transition?",The rabbit continues to sit.
a basketball player is trying to block the ball,a basketball game with a player in the middle of the court,,"Caption 1: a basketball player is trying to block the ball
Caption 2: a basketball game with a player in the middle of the court
What's the transition?",The player continues to block the ball.
a basketball game with a player in the middle of the court,the nba game that started in the nba playoffs,,"Caption 1: a basketball game with a player in the middle of the court
Caption 2: the nba game that started in the nba playoffs
What's the transition?",The game continues.
a young boy sitting on the floor,a little boy sitting on the ground,,"Caption 1: a young boy sitting on the floor
Caption 2: a little boy sitting on the ground
What's the transition?",The boy continues to sit.
a man is taking a bath in the bathroom,a young boy is washing his hair in the bathroom,,"Caption 1: a man is taking a bath in the bathroom
Caption 2: a young boy is washing his hair in the bathroom
What's the transition?",The boy washes his hair instead of the man.
a large group of men in white robes,a large group of people in white uniforms,,"Caption 1: a large group of men in white robes
Caption 2: a large group of people in white uniforms
What's the transition?",They are wearing white uniforms.
a woman playing a guitar in a room,a woman standing in a room,,"Caption 1: a woman playing a guitar in a room
Caption 2: a woman standing in a room
What's the transition?",The woman stands in the room.
a man is jumping on a bed,a man is playing with two cats on a bed,,"Caption 1: a man is jumping on a bed
Caption 2: a man is playing with two cats on a bed
What's the transition?",The man plays with two cats.
a man is in bed with his dog,a man is bending on a bed,,"Caption 1: a man is in bed with his dog
Caption 2: a man is bending on a bed
What's the transition?",The man bends on the bed.
a man is standing in front of a window,a man is kissing another man in a room,,"Caption 1: a man is standing in front of a window
Caption 2: a man is kissing another man in a room
What's the transition?",The man kisses a woman in a room.
a man is sitting down on a couch,a man is sitting on a horse,,"Caption 1: a man is sitting down on a couch
Caption 2: a man is sitting on a horse
What's the transition?",The man sits on a horse.
a man is sitting on a couch with his head down,a man is sitting on a bench with a dog,,"Caption 1: a man is sitting on a couch with his head down
Caption 2: a man is sitting on a bench with a dog
What's the transition?",The man sits with a dog.
a man is holding a large bird in his hand,a man is holding a dog in his arms,,"Caption 1: a man is holding a large bird in his hand
Caption 2: a man is holding a dog in his arms
What's the transition?",The man holds a dog instead of a bird.
a man in an orange vest is holding a knife,a bear is standing in the woods,,"Caption 1: a man in an orange vest is holding a knife
Caption 2: a bear is standing in the woods
What's the transition?",A bear appears in the woods.
a man is standing in the woods with a deer,a man is walking through the woods,,"Caption 1: a man is standing in the woods with a deer
Caption 2: a man is walking through the woods
What's the transition?",The man walks through the woods.
a man in a red cap and glasses is standing next to a tree,a man in a red hat and jacket,,"Caption 1: a man in a red cap and glasses is standing next to a tree
Caption 2: a man in a red hat and jacket
What's the transition?",The man is wearing a red hat and jacket.
a man is standing in the woods,a view of a lake with trees and water,,"Caption 1: a man is standing in the woods
Caption 2: a view of a lake with trees and water
What's the transition?",The camera looks up at the lake.
a group of people riding horses through the woods,a group of people riding on a dirt bike,,"Caption 1: a group of people riding horses through the woods
Caption 2: a group of people riding on a dirt bike
What's the transition?",They continue riding on a dirt bike.
a bear is walking through the woods,a group of people in the woods,,"Caption 1: a bear is walking through the woods
Caption 2: a group of people in the woods
What's the transition?",A group of people appear in the woods.
a video of a man walking down the street,a man is walking down the street in a small town,,"Caption 1: a video of a man walking down the street
Caption 2: a man is walking down the street in a small town
What's the transition?",The man walks down the street.
the band the strokes performing at the 2009 festival,a man on stage with a drum and a microphone,,"Caption 1: the band the strokes performing at the 2009 festival
Caption 2: a man on stage with a drum and a microphone
What's the transition?",A man appears on stage with a drum and a microphone.
a group of birds,a group of birds are swimming in the water,,"Caption 1: a group of birds
Caption 2: a group of birds are swimming in the water
What's the transition?",The birds continue to swim.
a group of otters in the water,a group of turtles in the water,,"Caption 1: a group of otters in the water
Caption 2: a group of turtles in the water
What's the transition?",The turtles are replaced by otters.
a woman in a red dress eating a cookie,a woman in a red dress is talking on a cell,,"Caption 1: a woman in a red dress eating a cookie
Caption 2: a woman in a red dress is talking on a cell
What's the transition?",The woman is talking on a cell phone.
a man is standing in the water,a dog is playing in the water,,"Caption 1: a man is standing in the water
Caption 2: a dog is playing in the water
What's the transition?",A dog is playing.
a man is standing in a field with a large cloud,a tornado is seen in the sky above a field,,"Caption 1: a man is standing in a field with a large cloud
Caption 2: a tornado is seen in the sky above a field
What's the transition?",A tornado is shown in the sky.
a man is standing in a field with a large cloud,a large dust cloud is seen in the sky,,"Caption 1: a man is standing in a field with a large cloud
Caption 2: a large dust cloud is seen in the sky
What's the transition?",A dust cloud appears.
a small animal with big eyes is shown in this und - news clip,a small animal with big eyes is sitting on a tree branch,,"Caption 1: a small animal with big eyes is shown in this und - news clip
Caption 2: a small animal with big eyes is sitting on a tree branch
What's the transition?",The animal continues to sit.
a man and woman are painting a horse,a woman is painting a man ' s face with white paint,,"Caption 1: a man and woman are painting a horse
Caption 2: a woman is painting a man ' s face with white paint
What's the transition?",The woman paints the man's face with white paint.
a polar bear is walking through the rocks,a white bear walking on a rocky trail,,"Caption 1: a polar bear is walking through the rocks
Caption 2: a white bear walking on a rocky trail
What's the transition?",The polar bear continues to walk.
a polar bear is standing in the snow,a polar bear in the water,,"Caption 1: a polar bear is standing in the snow
Caption 2: a polar bear in the water
What's the transition?",The polar bear remains in the water.
a large white plane,a plane flying in the sky,,"Caption 1: a large white plane
Caption 2: a plane flying in the sky
What's the transition?",The plane continues to fly.
a man in a car with a woman behind him,a woman driving a car on the street,,"Caption 1: a man in a car with a woman behind him
Caption 2: a woman driving a car on the street
What's the transition?",The woman begins driving a car.
a man cutting vegetables on a cutting board,a man and woman are preparing food on a table,,"Caption 1: a man cutting vegetables on a cutting board
Caption 2: a man and woman are preparing food on a table
What's the transition?",The man and woman prepare food on the table.
a man is opening a refrigerator door,a white refrigerator,,"Caption 1: a man is opening a refrigerator door
Caption 2: a white refrigerator
What's the transition?",The refrigerator is white.
a man is holding a cat in his hand,a man is standing in front of a refrigerator,,"Caption 1: a man is holding a cat in his hand
Caption 2: a man is standing in front of a refrigerator
What's the transition?",The man stands in front of the refrigerator.
a woman in a blue shirt is doing a dance,a woman in a blue shirt is doing a yoga pose,,"Caption 1: a woman in a blue shirt is doing a dance
Caption 2: a woman in a blue shirt is doing a yoga pose
What's the transition?",The woman transitions to a yoga pose.
a man is jumping over a fence on a bike,a man is doing tricks on a skateboard,,"Caption 1: a man is jumping over a fence on a bike
Caption 2: a man is doing tricks on a skateboard
What's the transition?",The man starts doing tricks on a skateboard.
a dog sler pulling a sler through the snow,a group of dogs running across a snow covered field,,"Caption 1: a dog sler pulling a sler through the snow
Caption 2: a group of dogs running across a snow covered field
What's the transition?",Dogs continue to run.
a man holding a small dog in his hands,a man is eating a piece of pizza,,"Caption 1: a man holding a small dog in his hands
Caption 2: a man is eating a piece of pizza
What's the transition?",The man is eating pizza.
a small dog sitting on top of a set of stairs,a small dog sitting on a couch,,"Caption 1: a small dog sitting on top of a set of stairs
Caption 2: a small dog sitting on a couch
What's the transition?",The dog sits on the couch.
a cat is walking on the ground,a group of cats are walking around a patio,,"Caption 1: a cat is walking on the ground
Caption 2: a group of cats are walking around a patio
What's the transition?",A group of cats walks around the patio.
a little girl sitting on a bed playing with a toy,a young girl sitting on a bed,,"Caption 1: a little girl sitting on a bed playing with a toy
Caption 2: a young girl sitting on a bed
What's the transition?",The girl continues to sit on the bed.
a man riding a motorcycle down a road,a man riding a bike in the grass,,"Caption 1: a man riding a motorcycle down a road
Caption 2: a man riding a bike in the grass
What's the transition?",The motorcycle scene shifts from a motorcycle to a grassy field.
a man is standing in the grass with a sign,a man is lying on the grass next to a sign,,"Caption 1: a man is standing in the grass with a sign
Caption 2: a man is lying on the grass next to a sign
What's the transition?",The man continues to lie on the grass.
a woman singing into a microphone in the dark,a woman in a black jacket holding a microphone,,"Caption 1: a woman singing into a microphone in the dark
Caption 2: a woman in a black jacket holding a microphone
What's the transition?",The woman is wearing a black jacket.
a group of people riding on top of a truck,a group of people are gathered around a boat,,"Caption 1: a group of people riding on top of a truck
Caption 2: a group of people are gathered around a boat
What's the transition?",They continue to ride.
a man playing a guitar in his home,a man playing a guitar in a room,,"Caption 1: a man playing a guitar in his home
Caption 2: a man playing a guitar in a room
What's the transition?",The man continues playing a guitar.
two babies sitting on a couch,two boys sitting on a couch,,"Caption 1: two babies sitting on a couch
Caption 2: two boys sitting on a couch
What's the transition?",The babies are replaced by boys.
a hedge is eating food on the floor,a hedge is walking on the floor,,"Caption 1: a hedge is eating food on the floor
Caption 2: a hedge is walking on the floor
What's the transition?",The hedge walks off the floor.
